 ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MDA,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619,2676.53869047619
MKD,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735,1210.50891030735
MNE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NLD,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791,4508.45963942791
NOR,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969,5298.70938448969
POL,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365,2577.31748036365
PRT,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913,1992.94004957913
ROM,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338,1989.99404894338
RUS,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652,4002.40729344652
SRB,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869,1686.92924951869
SVK,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595,3292.63053192595
SVN,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585,3379.24108711585
SWE,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168,5802.110105168
TJK,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646,332.258792218646
TKM,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462,3918.74365003462
TUR,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034,1245.5756053034
UKR,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547,2935.23005487547
UZB,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269,1813.24248176269
